Tag,Description,ID,Type
Gods,"These manga feature deities - gods or goddesses - as main characters. The gods may be based on a form of mythology such as Greek or Norse, or they may be fictional deities. Manga with gods may focus on a God-Human Relationship.",Gj_KzWOeMvjnZNHNfq8Pd,theme
Golf,"Golf is the focus of these manga. Training and competing in tournaments or championships are common themes in sports titles, as well as being an underdog who goes against the odds to succeed.",e73QiS5xrvvXQbVG3unC5,theme
Greece,These manga predominantly or fully take place in Greece.,FEytJ4kxQujUj-IzUXI4e,theme
Greek Mythology,"These manga reference Greek mythology: a collection of myths involving famous Greek Gods, such as Zeus, Hades and Athena; or stories of mythological Greek figures such as Hercules, Odysseus, or Achilles. The manga may take place in Greece.",6e5M_7TLGoHUlfwrIDuEz,theme
Guilds,"These manga feature characters who are members of guilds. They may be adventurers, thieves, magicians, or other professions associated with fantasy or RPG settings. Guild members often live and work together, making a living by hunting monsters or going on quests that frequently lead to adventures.",1SgmL28E8CG6a7QHrtj3r,theme
Guns,"Guns are an important focus of these manga. Characters may frequently engage in gunfights or other battles involving firearms, use guns to engage in criminal activity, or are enthusiasts who research or collect them, such as gun otaku.",u5_daNOqSpXszo6aA9Yc7,theme
Guro,"Guro, also known as Ero-guro, is a subgenre of horror that combines extreme violence with deviant sexuality. Guro titles use grotesque imagery and break taboos as a means of social commentary on the decadence of society.",cUUIRZ1d6HbndfcK0RlNe,theme
Gyaru,"Gyaru (\\u30ae\\u30e3\\u30eb) is a subculture of women, also known as \\""Gyaru girls\\"", who follow many types of Japanese street fashion. Gyaru girls are typically characterized by having heavily bleached or dyed hair, tanned skin, highly decorated nails, and dramatic makeup. There are many types of gyaru, such as Ganguro, Kogyaru, and Himegyaru.",SrRiUR_ZULYaNC5-qxa4M,theme
Gymnastics,"Gymnastics is the focus of these manga. Training and competing in tournaments or championships are common themes in sports titles, as well as individual or team spirit, or being an underdog who goes against the odds to succeed.",26P292G0geIQsEDQ36O8k,theme
Gynophobia,"Gynophobia is defined as an irrational fear of women. In these manga, characters with the disorder have extreme reactions to the women in their lives, from panicking to having an intense allergic reaction to anything in between.",5K3wTF2mF2qlFPAXUsG4g,theme
Hacking,"A hacker is someone who seeks out and exploits weaknesses in a computer network. Hacking is a focus of these manga, either in the traditional sense, or more fantastical systems such as the human mind or dreams.",rRg0SHBcl6nb5KHkKO1Fo,theme
Hamsters,"Hamsters are the focus of these manga. These small, cute rodents have short tails and large cheek pouches for carrying food, and are common household pets.",ytFkR-RNKbWJ-CwWDya38,theme
Handball,These manga focus on handball: a team sport in which two teams pass a ball using their hands and try to throw it into the other team's goal. The winning team is determined by who can score the most goals by the end of the 60-minute game.,gZ65yw9qeqSroOgtGb7w3,theme
Hand to Hand Combat,"These manga showcase close-quarters combat, from Martial Arts, to Boxing, to flat out street brawling and beyond. Hand-to-hand combat includes all forms of kicks, punches, grabs, or throws, or even stranger close quarters maneuvers.",YfCL89g9NuJ-sQc6DrJi2,theme
Harem,"A harem includes three or more characters who potentially show romantic interest in a male protagonist. The sex, gender, or orientation of the harem members is irrelevant as long as they exclusively, or at least primarily, are vying for the affections of the same individual - who may or may not reciprocate towards one, several, or none of these romantic rivals.",jkQBBbwy2IeVmEBTDuGOz,theme
Harlequin,"Harlequin is a Canadian-based company that publishes romance novels targeted towards women. Harlequin manga are produced by the Japanese branch of the company, coupling the original stories by English authors with artwork from a Japanese mangaka.",swkYKYDkfN5NNvWO1ZCE-,theme
Heaven,"These manga fully or mostly take place in the kingdom of Heaven. Angels, halos and winged deities are commonplace in these titles.",JE4yvsg5OlbEeS7tLuyY7,theme
Hedgehogs,"These manga feature hedgehogs: small mammals covered with sharp, spiny quills. Watch where you step!",6WgIywG_-PnwPdM53ePbZ,theme
Hell,"These manga fully or mostly take place in Hell. Demons, fiery landscapes and the Devil are commonplace in these titles.",tfR9cQh0fkhhBK0auGLNF,theme
Hiatus,"These manga are currently on Hiatus - the author and/or artist have decided to temporarily stop production of more chapters or volumes, often so they can focus on a different project or because of health reasons. On Anime-Planet, we temporarily mark entries on Hiatus as completed, and change its status back to ongoing once production resumes. If a manga is on Hiatus for a very long period of time, it is usually assumed to be Cancelled.",TX9IUMUHK8bZzxgOlYDKv,theme
High Stakes Games,"Characters in these stories play a 'game' with serious consequences. Fame, fortune, power, life: any or all of these may be won or lost according to the rules of competition. The stakes and the rules may be agreed upon by parties involved, or imposed on them by an external force; either way, not following them will usually have severe consequences for the transgressor. Those who take part in the game will generally be forced to play until they win... or lose.",7hPktTeeyL3reX1y3wHHA,theme
Historical,"The setting of a historical manga takes place at some point in Earth's past. The level of dedication to portraying the lifestyles, societies, and technologies of past periods and peoples accurately or believably can vary greatly between different works.",SK5mSCQwvvLLwA7VDBq2Y,theme
Hockey,"Ice Hockey is the focus of these manga. Training and competing in tournaments or championships are common themes in sports titles, as well as individual or team spirit, or being an underdog who goes against the odds to succeed.",rfzB3mrRkWm7VfB26M3Ym,theme
Hokkaido,These manga predominantly or fully take place in Hokkaido.,jo2XJcTgkdomSYx8xpOMb,theme
Horror,"Horror manga create an atmosphere of unease. Like Mystery manga, they encourage viewers to learn more about their world... but there may be secrets that are better left unexplored. Through eerie music and sounds, visceral or disturbing imagery, or startling moments, works of Horror make you worry about what gruesome thing is coming next.",Ip6UHg3N2ky6E7yGlbE_u,theme
Horse Racing,"These manga feature horse racing: an equestrian performance sport where horses race each other in a competition, usually ridden by jockeys.",p-vGkCVG9oBdt59989gkJ,theme
Hospital,"These manga take place at a hospital, a Medical facility where Doctors, Nurses, and other professionals care for patients with injuries or an Illness. Some hospitals specialize in caring for those with Mental Illness.",0XNDHNMncMItBBy4azg29,theme
Hostesses,These manga feature characters who are employed at hostess clubs: high-priced venues where female staff members cater to the needs of men and homosexual women by pouring them drinks and engaging them in attentive conversation. Some hostesses may also have sex for money behind closed doors.,AhpU33L5nJ70AnpeQKv8R,theme
Hosts,These manga feature characters who are employed at host clubs: high-priced venues where male staff members cater to the needs of women and homosexual men by pouring them drinks and engaging them in attentive conversation. Some hosts may also have sex for money behind closed doors.,fWEdCxzkA5otbwt-QZma4,theme
Hotels and Inns,"Hotels, inns or ryokans are the focus of these manga. Characters, often Innkeepers, manage day to day operations or other aspects of running the facility.",4_4JJqUeCb3jZ5wYketCu,theme
Human Experimentation,"Characters in these manga are the result of human experimentation. They have been biologically, chemically, or genetically altered through experiments, and may have Superpowers, Psychic Powers, or other innate abilities or characteristics due to the experimentation.",AOG5UdnfaYxCJAxSNGQum,theme
Human Livestock,"Humans in these manga are kept as livestock for practical reasons such as for food or organ harvesting. They may be kept by another species, or by fellow humans who have judged them to be inferior.",0vx0v_Fs5jno7STV2Z1x8,theme
Human Pets,"These manga feature humans who are treated as pets. They may be kept as pets by another species, such as Aliens, Demons, or Anthropomorphic beast people, or they might pretend to be Cats, Dogs, or other common animals while living with another human. Some \\""pets\\"" may wear animal collars, walk on leashes, or be kept in cages. Human pets may treated like pampered companions, or they might suffer various forms of mistreatment at the hands of their \\""masters\\"", some of whom keep them for sexual purposes.",CzgfJAJ5_N_79VlfEggjC,theme
Hungary,These manga predominantly or fully take place in Hungary.,acRTxGC3rfI9wCweEZtTk,theme
Iceland,These manga predominantly or fully take place in Iceland.,ne_Wgi_eRQUpohV62p_kM,theme
Ice Skating,"Ice Skating or Figure Skating is the focus of these manga. Training and competing in tournaments or championships are common themes in sports titles, as well as individual or team spirit, or being an underdog who goes against the odds to succeed.",rsscNZhcunxB9D9spiwO0,theme
Idols,"Idols are heavily promoted multimedia stars. In Japan, they are adored by the masses and frequently perform at concerts or events; however, the idol industry is both competitive and harsh, and many involved have short-lived careers. These manga showcase all there is about the profession, from training, to being scouted by talent agents, to management and production.",Aee4AUoCIPy0rPIBVQsys,theme
Illness,"These manga feature characters who struggle with a debilitating health condition, whether they're diagnosed with a terminal illness or a lifelong condition that impacts their way of life. Some illnesses may stem from a physical Disability. This tag doesn't include Mental Illness. ",65l2Qa2S68MIO77-PIXYQ,theme
Impersonation,"Characters in these manga are impersonating someone. They may be twins who switch places, someone serving as a body-double for a celebrity or other person of importance, or a person pretending to be a deceased relative or friend. Not to be confused with Secret Identity, which defines characters who live a double life.",UkT0KqLdo8U_djXQc3om1,theme
Incubus,"These manga feature an incubus: a Demon or spirit in male form that engages in sexual intercourse to feed off the energy of its partner. In traditional folklore, incubi would visit women in their sleep, but modern renditions of these creatures can have them pursuing people of either sex, whether they are asleep or awake.",Pu2bXuldEDoYI4v6tFjo5,theme
India,These manga predominantly or fully take place in India.,tR5mwxUFyTHEUtJqsKYpj,theme
Indonesia,These manga predominantly or fully take place in Indonesia.,9Kmyuh0U82zKKYeRILoxR,theme
Indonesian Comics,"These manga have Indonesian authors and artists, and/or were first published in Indonesia.",Fb4Actcxm7EZhw9xMeBak,theme
Infidelity,"In these manga, infidelity is an important aspect of the story. Characters may be dealing with an unfaithful partner, or having an affair with someone else. Their actions may result in a Divorce or unplanned Pregnancy.",AfPgKvwegC5cejikesaLM,theme
Inheritance,"Characters in these manga receive an inheritance, typically from a relative who has passed away, and gifted them with riches, a mansion, or some other form of property. Common manga themes include receiving the inheritance, such as having to move to a new house; stipulations about the inheritance, such as having to marry; or squabbles amongst family members to split up the inheritance.",4bSah6Js3XJS61Bvw9cDt,theme
Insects,"Insects are the primary component of these manga, whether they're giant, man-eating monsters or household pests of another variety.",IJ4qUnajFecxlSIa_P8m9,theme
Interspecies Relationship,"These manga focus on romantic or sexual relationships between beings of two different species, such as Gods, Vampires, Robots, Demons, or others. The characters might be humans who are in a romantic relationship with a non-human, or non-human beings who fall in love with each other, such as an angel and a demon, an elf and a werewolf, or different kinds of animals. See also: God-Human Relationship.",No8wc-ACd3otwOc6HFQeW,theme
Ireland,These manga predominantly or fully take place in Ireland.,fkffTIBuLxJ2WogCg_r9e,theme
Isekai,"Isekai is a fantasy genre where a person from Earth is transported to, reborn, or trapped in a parallel universe or fantasy world. For beings from other worlds visiting Earth, see Reverse Isekai.",MdCG9wlminLBwLjHYtGis,theme
Island,"These manga fully or mostly take place on an island, whether the land mass is in the sea or floating in the air.",cnn7H8WjszZ367SbiVHxC,theme
Isolated Society,"These manga feature a society that is physically isolated from the world. The populace might live inside of a walled or domed city, or are limited to a small island. Typically, the society is unaware of what exists outside of their borders in the Outside World, or are forbidden to go there.",K4_FIRWDLiiLX-ivWSKpg,theme
Italy,These manga predominantly or fully take place in Italy.,2lj1-4K5Yi8M0RxXP8Fal,theme
Iyashikei,"Iyashikei (\\u7652\\u3057\\u7cfb) is a sub-genre of Slice of Life manga that is designed to have a \\""healing\\"" effect on the viewer. Iyashikei manga are typically Episodic, have little to no conflict, and showcase the characters' peaceful lives. These titles often take place in the peaceful Countryside, but can occur in a variety of other locations such as a home, workplace, or school. Common features include mellow atmospheres, soothing soundtracks, and gorgeous background art.",1PgQusqMO0UHB__iGaafo,theme
Japanese Mythology,"Japanese mythology refers to any number of stories involving kami (deities or spirits), oni (ogres), and/or youkai (fey-like creatures). Manga commonly include ideas based on the creation myth, featuring Amaterasu, Susano-o, Izanagi and Izanami; tales of incredible beasts such as the serpentine Orochimaru; or stories of mortal deities or folk heroes like Momotarou.",5fZLZ1YPPyY6qzRqs8KN7,theme
Java Sparrows,"These manga feature Java sparrows, also known as the Java finch. These Birds feed on seeds and grains and can be pests to rice farmers, but have become popular pets. Despite their name, Java sparrows are not actually Sparrows.",ThVquxH7iGArO4UgubZPO,theme
Jazz Music,"These manga focus on the appreciation of Jazz music, or on the musicians themselves, whether they're amateurs or professionals.",s_1S5lxsbr4KIHXn7Pkhr,theme
Jellyfish,"These manga feature jellyfish, also known as sea jellies. They are marine animals with umbrella-shaped bells and trailing tentacles. While most species are free-swimming, some are anchored to the seabed by stalks.",0JR5fswc-ub_7GHgPZSiZ,theme
Josei,"Josei (\\u5973\\u6027), translated as \\""woman\\"", is a demographic aimed at women from late teens through adulthood. These titles tend to be more mature, often focusing on realistic situations such as work life or romance. Josei is the counterpart of Seinen, a demographic aimed at older teens and men.",L2XBHabswHOqBXwfwCztH,theme
Journalism,"Journalism is the focus of these manga. Characters may be news anchors, photojournalists or reporters that work in the field, or people who work in a career involving newspapers, magazines, or other related areas.",BZpLWHrdAnYYybazvWw8K,theme
Journey to the West,These manga are directly or loosely based on the Journey to the West novel by Wu Cheng'en.,hoFL7VpW9fpWPH_DEfKjP,theme
Judo,"Judo is the focus of these manga. Training and competing in tournaments or championships are common themes in sports titles, as well as individual or team spirit, or being an underdog who goes against the odds to succeed.",hrPMvt_YMNi6Im0tVjVk0,theme
Jungle,These manga fully or mostly take place in a jungle: a tropical rainforest dominated by trees and dense vegetation.,RPVfgMtTVaadHMc_gmnWF,theme
Kaijuu,,y8vYgR4BIBFgDof5IZAXO,theme
Kendo,"Kendo is the focus of these manga. Training and competing in tournaments or championships are common themes in sports titles, as well as individual or team spirit, or being an underdog who goes against the odds to succeed.",pukIHNsrWkk8FPlbeI-85,theme
Kickboxing,"Kickboxing is a Hand-to-Hand Combat sport that is similar to Boxing. Kickboxing features two unarmed opponents who kick and punch. These manga typically focus on characters training and then traversing amateur or professional circuits, earning fame and fortune with their skills.",rZcGcJDN6-5Aiig0Go4VP,theme
Kidnapping,"These manga feature a kidnapping as the central plot, whether it's carried out during the manga, or characters must deal with the aftermath of a kidnapping.",31ttHBqCM5ww9r7RFpjcg,theme
Kingdom Building,"Characters in these manga take on the responsibility of running a town or kingdom, whether they take control of an existing one, or build their own from the ground up. Typically, these manga focus on the administrative duties that keep civilization going, such as implementing new laws, constructing buildings, dealing with economic issues, engaging in international diplomacy, and acquiring the land needed for expansion through trade, negotiation, or open warfare.",rbXs8LV9zhxyQh7D3K_lE,theme
Kitsune,"These manga feature Kitsune: Youkai with Fox features or characteristics, such as the legendary nine-tailed fox.",vy-TXiNL6mxyPyYzjj0sk,theme
Koalas,"These manga feature koalas: Australian marsupials known for clinging to tree branches and snacking on eucalyptus leaves. They are sometimes referred to as koala bears, although they are not members of the bear family.",uBlfs-T8PzNtERLmpMJMm,theme
Korean Novels,"These Novels are typicslly written in Korean or first originated in Korea. For Korean manga, see Manhwa.",Sz7XGKxqFTkya0vZyuPiL,theme
Lacrosse,"Lacrosse is the focus of these manga. Training and competing in Tournaments or championships are common themes in Sports titles, as well as team spirit, or being an underdog who goes against the odds to succeed.",IxrtMEhIPYZkF72VVz_wh,theme
Landlords,"These manga feature landlords: people who own or manage a property and its tenants. They might collect rent, perform building maintenance, or conduct routine inspections of the rooms being leased.",28tbkqn98RuMK1JOQq_O3,theme
Lawyers,"These manga feature lawyers. Also known as attorneys, these characters are in the business of practicing law, using their legal expertise to argue cases in court before a judge or jury.",356rUL7MTuz9DneVOPPQK,theme
Leijiverse,"These manga are a part of the Leijiverse: a term used to describe anime and manga that are a part of the same universe created by, or heavily influenced by, Leiji Matsumoto. Titles in the Leijiverse can be directly connected through shared characters or places, or can be loosely connected through common themes or concepts. ",M8-QeIf1BRAbFshafgi9x,theme
LGBT Themes,"These manga have an LGBT theme as a strong focus. Examples include gender or gender identity themes; an LGBT relationship as a primary focus; or an LGBT character as a protagonist, especially if their gender or sexual orientation is showcased as a back story or plot point. Read more about how we tag LBGT-related content on Anime-Planet.",ksWrf00Uxjv2oBKNUkeec,theme
Library,"These manga take place in, or focus on, libraries. Librarians and library patrons are common protagonists.",MQJLgwVRcXTQXlbnCp482,theme
Lifestyle Change,"Characters in these manga undergo a significant lifestyle change. They might be a commoner who becomes royalty, are rich and become poor, or have a sudden change in popularity. They might move from the city to the country, have a significant job change such as leaving the mafia or embark on a new career, or experience other personal changes such as a debilitating injury, becoming a parent, or coming to terms with their sexuality.",H4W5-CG6IQVM0T_MSCsem,theme
Light Novels,"A light novel is a Japanese novel that usually has less than 500 pages and contains a minimal amount of illustrations - sometimes only the cover contains artwork. See also: Novels, Web Novels.",MkG2J3ZVmjYEHaM50ld1z,theme
Lions,"These manga feature lions: big Cats known for their prowess as apex predators and the manes that grow on the faces of adult males. Unlike the more solitary Tigers, lions are social cats who live and hunt in groups.",4GYqqSD-4kt1Qt5Hdgeek,theme
Lizards,These manga feature lizards: Reptiles of various sizes that range from smaller species like chameleons and geckos to giant lizards like the Komodo dragon.,Uc4ui-A-ZGv5FG3C20SR0,theme
Loneliness,"Characters in these manga feel sad and alone. Those suffering from loneliness might be physically separated from others, or they might feel emotionally isolated even if they are surrounded by people. Lonely characters might be victims of Bullying, live in a Dysfunctional Family or deal with Mental Illnesses such as depression or anxiety. ",8CWxfDfxegAFxOZjVACt5,theme
Love Confession,"Kokuhaku (\\u544a\\u767d) is the act of declaring your love to another in hopes of dating them. In these Romance manga, the protagonist wishes to confess to their crush, but anxiety, planning, and other factors might stand in the way!",vg4dfhzQEPY9XmIQnkL0Y,theme
Love Triangle,"A love triangle is a set of interconnected romantic relationships between three people. These manga focus on the trials and tribulations of characters who may at first be in love, uninterested, or completely oblivious, as they untangle their feelings, make their choices, and try to win the heart of their beloved. More complex sets of relationships involving more than three people, sometimes called love polygons, may also be included.",aXZ3SBJ0UxAQiUnnaGD0J,theme
Mafia,These manga feature the Mafia: traditionally Italian Gangs that follow a strict code of honor called Omert\\u00e0.,G7EY9V6UYtvxTPRagFLvU,theme
Magic,"Magic is the use of gestures, incantations, or rituals to harness some kind of supernatural power. Characters in Magic manga tend to go by titles such as witch, wizard, mage, or sorcerer, and may be occupied with learning to harness these abilities or with finding magical relics or battling against strange entities... or other magic users.",5o4_jE-3yUDhM-KZV-lDu,theme
Magical Girl,"These manga feature young, generally school-aged girls as defenders of love, life, and justice. They typically stumble upon the source of a magical power, or are granted one by allies that are aware of evil forces on the rise. Often by using a special item or with the help of a magical familiar, these characters are able to transform into an alter-ego ready to cause mischief or fight their foes. Magical Girl is a sub-genre of Henshin Heroes.",hNrjMyxluFGmX4BQyaRBu,theme
Magic School,Characters in these manga attend a Magic School where they learn about the magical arts.,h0w2txiFOa2xYCoxI7HwH,theme
Mahjong,"Mahjong is a table game that originated in China and has many regional variants. In the game, four players take turns drawing tiles with the goal of making a hand worth the most points, and ultimately winning the most points after several rounds. These manga showcase the game of mahjong through gambling, tournaments or casual play.",XH6orcpsrosdRz-z3719f,theme
Maids,"These manga showcase maids: women - or rarely men - who are employed to help cook, clean, run errands, or anything else that their master requires. The manga might also feature a Master-Servant Relationship. Alternately, maids might be employees of a theme cafe where cosplay is required to please customers.",xuPeM9AjhCGWL0THZltGT,theme
Makeup and Cosmetics,"These manga focus on makeup or cosmetics. Characters might be aspiring or professional makeup or special effects artists, sell these products to the public, or simply enjoy using them. Other common themes include the makeup or cosmetics industries, or the role these products have in daily lives.",bH5wSE-mwnbhHZsNrJhof,theme
Malaysia,These manga predominantly or fully take place in Malaysia.,H7MXZnSnQG14Skqiz3N2-,theme
Management,"Characters in these manga are in charge of managing a small or large-scale operation, such as owning a restaurant or shop, building or growing a town or kingdom, or constructing a world-class dungeon. The primary focus of these manga is the day-to-day operations of how to succeed at their job, whether it's increasing revenue, managing inventory, or improving kingdom morale.",VdkyDoJ0qr9SGSwd34dHF,theme
Manga Industry,"These manga explore manga from the industry or consumer side. Common themes include the creative and design process, editing or meeting publishing deadlines, distribution and marketing, or the culture of manga consumption.",NkVWYox8J5QhD4a8Qk3Xm,theme
Manhua,"Manhua is the Chinese word for comics. These titles usually have authors and artists that are Chinese, and/or were first published in China.",R4oCWtQMv7X5ggtu8qf7_,theme
Manhwa,"Manhwa is the Korean word for comics. These titles usually have authors and artists that are Korean, and/or were first published in Korea.",o2QeOleekGVw1Pt1fIkYW,theme
Mansion,"These manga primarily take place in a mansion. These dwellings, usually owned by wealthy people, can be extremely large homes occupied by a single family, or they might be converted for commercial use, such as a Hotel or Boarding House.",k1wRS4sQiODTF9ozPMc8Q,theme
Marriage of Convenience,"A marriage of convenience describes two people entering a marital union for contractual reasons other than love. For example, to wipe out a Debt, to receive an Inheritance, to gain citizenship, or for some other strategic purpose. Typically, characters in a marriage of convenience have a choice to enter the relationship - even if it's a difficult choice - unlike Arranged Marriages. Unions made for political reasons are a type of marriage of convenience that may also be an arranged marriage, if family members required the union.",HogVlA7yrV93vxsWo8Ez_,theme
Married Life,"These manga showcase what it's like to be married. The couple's married life might include day-to-day tasks, or activities that help strengthen their intimacy inside or outside of the bedroom. Or, the manga might focus on the relationship failing - even divorce.",MHoU-c5EakWQfRgGa2RtY,theme
Mars,These manga predominantly or fully take place on the planet Mars.,d54wmqpI112rbcRvii4on,theme
Martial Arts,"Martial arts are techniques that heavily involve training and are steeped in tradition. These techniques can have varied applications such as self-defense, psychological health or advanced use of weaponry, amongst others. Characters in these manga often spend much of their time training to defend themselves or others, participate in competitions of skill, honor their culture, or develop their health and spirituality.",QFQKvhFEzGYbAn8rN8Zyf,theme
Martial Arts School,Characters in these manga attend a Martial Arts School where they learn one or more specialized Martial Arts forms. Competitions and power struggles are a common occurrence in these titles.,io9ut4CnZZ53Dp8gQGOhf,theme
Marvel Comics,These manga are based on a Marvel comic book.,WYQ2mkl2-lFD5yahoLY5e,theme
Master-Servant Relationship,"These manga focus on a relationship - platonic or romantic - between a master and a servant. Sometimes these relationships are traditional, such as the interactions between a Maid or Butler with the master of the house. Comedy and Fantasy titles sometimes showcase this relationship in a different capacity, featuring a magic user with a human 'familiar' or 'pet' as a designated servant.",pNcoVqpxLNGdHV5yEVIy_,theme
Mathematics,"Mathematics is the focus of these manga, which tend to be Educational. They might showcase geometry, algebra, or any other branch of mathematics.",CKunL5XDZlsXrBIwc9F-9,theme
Mature Romance,"These Romance manga typically feature relationships between Adult Couples or College students. Unlike high school romances, these stories typically feature more mature themes that adults experience in relationships.",LXAXPNkeuuHCoLRcuDxsM,theme
Mecha,"Mecha are self-propelling machines that are modeled after humans; some can change into multiple, non-humanoid formats as well. They're usually controlled by an internal pilot or by remote, but are sometimes sentient beings that move autonomously. A mecha's size ranges from bulky, wearable armor to a massive, towering contraption and beyond. While mecha have a wide range of applications, such as making manual labor easier, they are most commonly portrayed as heavily-armed war machines.",2PUtxjIpgMb8on0CG9n2f,theme
Medical,"These manga feature medical professionals such as doctors, surgeons and other staff, as they perform their medical duties at hospitals, clinics, or other locations.",LuClLE6KRXMZUYzWt9XE7,theme
Medieval,"These manga take place in a setting thematically similar to Europe in the middle ages. Castles, moats and small villages adorn the landscape, and knights, military forces and feudal kingdoms rule the populace.",GmfZ374eK0UL6L-Zug_5m,theme
Melancholy,"These manga have an atmosphere of pensive sadness. They may explore themes such as Loneliness, an Illness or Mental Illness, the Death of a Loved One, or tragedy.",_qbkRFAzSekFj0yJgU3-n,theme
Mental Illness,"These manga feature characters who live with a mental health condition that impacts their way of life, such as depression, anxiety, PTSD, or a personality disorder. For physical ailments, see Illness.",W8qixqdoRsaOWD17XhYbP,theme
Mercenaries,"Mercenaries are people who take on dangerous jobs for their own personal gain and generally don't have any loyalty to their employer. In these manga, characters undertake a variety of jobs such armed combat, retrieving an item or person, or straightforward assassination.",ABbzIFbNwYG0OCgL_hkzE,theme
Mermaids,"Merfolk are human above and fish below, and generally can breathe both above and below the water. These manga showcase mermaids and mermen either as the primary cast or as the story's primary theme and focus.",4J5htAlD31Ij9cL4DzRf2,theme
Mexico,These manga predominantly or fully take place in Mexico.,RT7Ars3mwXPZf4amNCMCH,theme
Mice and Rats,"These manga feature mice or rats: rodents with round ears, long tails, and pointed snouts that tend to annoy humans by making up residence in their homes and other buildings. Some mice or rats are kept as Pets.",HDcVb3NXQ67UMGcOEni-M,theme
Middle Eastern,"These manga take place in the Middle East or have Middle Eastern themes. Protagonists might be sheikhs or sultans, or the manga might simply take place in the Middle East. The plot can be realistic, or fantastical, such as being based on the Arabian Nights folklore.",h_eA8fBkuCKgBuyhiax1s,theme
Military,"These manga have a strong military presence, be it on a national or intergalactic level, or showcase characters that are in the military.",09qTZSG0bdyXXX4wWj3ux,theme
Military School,"Characters in these manga attend a military academy. They're often found in the classroom or training in the field, whether they're attending the school to become a mecha pilot or a member of the armed forces.",c8rIl_ecSgnbQoh3NXjG8,theme
Mind Games,"In these Psychological manga, characters use words and actions to manipulate others psychologically. Whether it be for their own amusement, to gain an advantage or for darker purposes, the characters in these manga use manipulation to get others to do their bidding.",9sBCF9zfMgLdB9PSJf7dF,theme
MMA,"Mixed martial arts (MMA), also known as cage fighting, is a full-combat sport that allows striking and grappling. These manga typically focus on characters training and then traversing amateur or professional circuits, earning fame and fortune with their skills.",UIqI1UmY771Xm10Ihw-no,theme
MMORPG,"These manga are about an MMORPG: a massively multiplayer online role-playing game. The setting might take place inside of the game if it's a virtual reality, or the story might focus on the MMORPG's existence and use instead.",wXLjRFAAAlVB-WyKa8hOz,theme
Modelling,"These manga feature Models as protagonists, or focus on the modelling and Fashion industry.",usFTOwChRsie3HGPwrUcx,theme
Modern Knowledge,"Characters in these manga possess modern-day knowledge that doesn't exist in the place they've found themselves in. They have been reincarnated or transmigrated into another world where they use their past memories for a specific advantage, such as a trade or occupation, or for an important objective. For example, they may be a brilliant strategist reincarnated into a world at war, or have modern medical knowledge in a medieval world and become a doctor there.",hJye_1YjhgLmndeqDn67U,theme
Moles,"These manga feature moles: small subterranean mammals that dig tunnels underground. Although they are considered pests to farmers and gardeners, moles can positively contribute to the natural world by aerating soil, and eating slugs and other pests that damage roots.",wUZokYQhgAEkwsMHf3cP2,theme
Monkeys,"These manga feature monkeys. Unlike their fellow primates the Apes, most monkeys have tails.",IyS2eQbyw0z-lEL4nadug,theme
Monster Girls,"These manga showcase cute or sexy monster girls such as the cyclops, harpies, centaurs, dragons, or others. Manga with this tag have a Comedy, Harem, or Romance focus.",_-_PTLmwR7429-CLNkOmi,theme
Monsters,"Monsters are fantastical creatures that appear in a wide variety of genres. They're classifed most easily by what they aren't; Vampires, youkai and a variety of other characters are separate categories. Monsters can be cute and cuddly sidekicks, scary beasts or anything in between, as long as they are fantastical, not found in nature, and don't fit another character classification.",j6BCgf4RHwD-_budAkgEx,theme
Monster School,"These manga feature schools where monsters, vampires or other supernatural beings attend classes like typical students. These monster academies can sometimes host human students as well, with or without their knowledge.",myn-BzMXt-VYRxCeFO2Dk,theme
Mosquitoes,,ExYgKDrxTnl_AxYOTyrwU,theme
Moths,These manga feature moths: winged Insects that - similar to Butterflies - begin life in a worm-like larval stage before morphing into their adult moth form.,rSrsGsst-754TZYD6CEu5,theme
Motorcycles,"Characters in these manga love, ride, or race motorcycles. For non-motorized enthusiasts, see Cycling.",qydfG2-T17kzaKogyTaZm,theme
Mountain Climbing,Characters in these manga climb mountains casually or professionally.,V96JB5RbIC4zMtpjpKB1O,theme
Muay Thai,"Muay Thai is a style of Kickboxing, originating in Thailand, that features two unarmed opponents who kick and punch. It is the only style of kickboxing that allows elbows, knees, clinch fighting, throws, sweeps and low kicks. These manga typically focus on characters training and then traversing amateur or professional circuits, earning fame and fortune with their skills.",aANMrsqOloGGNFX2NWHWL,theme
Museum,These manga predominantly take place in a museum.,WKKj7nJ7jHNISHMING_qS,theme
Music,"These manga are all about the appreciation or performance of music, no matter the genre, or the skill level any musicians involved. Music lives in the soul of these characters!",CYrhjGZq2iK-z7DaAse73,theme
Music School,"Characters in these manga attend a Music School. There they learn how to play instruments, be a singer, compose their own songs, or learn other musical skills.",9_5CKUzWl5W_pZ4Xv_Fde,theme
Mysterious Benefactor,"Seemingly out of the blue, the protagonists of these manga receive unexpected aid from a shadowy figure. The person may claim to be a distant relative, a representative of a government organization, or something else entirely - or they may not give out any information about themselves at all.",aO6FN3aGi1mbELSka-Gv1,theme
Mysterious Shop,"In these manga, a mysterious merchant appears with wares or services that are rare, difficult to acquire, or fantastical. These characters can sometimes appear out of thin air as a lone traveller, or can sometimes be found in a mysterious shop that displays the items for sale. Their services usually come at a high cost and can backfire in unexpected ways.",4IPf1aKvZms_HHXuHxZFg,theme
